Participant,Experimental_Group,recruitment_platform,Effects_Perception
16,Disclosed,Prolific,3.333333333
16,Disclosed,Prolific,5
16,Disclosed,Prolific,3.666666667
16,Disclosed,Prolific,4
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,2.666666667
16,Disclosed,Prolific,5
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,3
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,3.666666667
16,Disclosed,Prolific,5
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4
16,Disclosed,Prolific,3
16,Disclosed,Prolific,5
17,Disclosed,Prolific,4
17,Disclosed,Prolific,3.333333333
17,Disclosed,Prolific,3.333333333
17,Disclosed,Prolific,5
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4.333333333
17,Disclosed,Prolific,5
17,Disclosed,Prolific,4
17,Disclosed,Prolific,5
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4.333333333
17,Disclosed,Prolific,1.666666667
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
17,Disclosed,Prolific,2.333333333
17,Disclosed,Prolific,5
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4.333333333
17,Disclosed,Prolific,2.333333333
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4.666666667
17,Disclosed,Prolific,4.666666667
17,Disclosed,Prolific,5
17,Disclosed,Prolific,3
17,Disclosed,Prolific,4
17,Disclosed,Prolific,4
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,3.666666667
18,Disclosed,Prolific,2.666666667
18,Disclosed,Prolific,5
18,Disclosed,Prolific,5
18,Disclosed,Prolific,5
18,Disclosed,Prolific,5
18,Disclosed,Prolific,5
18,Disclosed,Prolific,5
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,5
18,Disclosed,Prolific,1
18,Disclosed,Prolific,4.333333333
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,3
18,Disclosed,Prolific,4
18,Disclosed,Prolific,2
18,Disclosed,Prolific,5
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,4.333333333
18,Disclosed,Prolific,3.666666667
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,4
18,Disclosed,Prolific,5
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,4.666666667
18,Disclosed,Prolific,3.333333333
18,Disclosed,Prolific,5
18,Disclosed,Prolific,4.333333333
19,Not Disclosed,Prolific,3.333333333
